mask_track_000.pcd frames_used=256 points=350562 mask_list=mask_track_000.txt
mask_track_001.pcd frames_used=201 points=285943 mask_list=mask_track_001.txt
mask_track_002.pcd frames_used=9 points=207 mask_list=mask_track_002.txt
mask_track_003.pcd frames_used=44 points=44414 mask_list=mask_track_003.txt
mask_track_004.pcd frames_used=359 points=405289 mask_list=mask_track_004.txt
mask_track_005.pcd frames_used=78 points=75160 mask_list=mask_track_005.txt
mask_track_006.pcd frames_used=19 points=14283 mask_list=mask_track_006.txt
mask_track_007.pcd frames_used=49 points=54649 mask_list=mask_track_007.txt
mask_track_008.pcd frames_used=7 points=23340 mask_list=mask_track_008.txt
mask_track_009.pcd frames_used=63 points=147170 mask_list=mask_track_009.txt
mask_track_010.pcd frames_used=94 points=228672 mask_list=mask_track_010.txt
mask_track_011.pcd frames_used=4 points=2570 mask_list=mask_track_011.txt
mask_track_012.pcd frames_used=1 points=3 mask_list=mask_track_012.txt
mask_track_014.pcd frames_used=3 points=19 mask_list=mask_track_014.txt
mask_track_015.pcd frames_used=108 points=115799 mask_list=mask_track_015.txt
mask_track_016.pcd frames_used=23 points=22643 mask_list=mask_track_016.txt
