epoch 001 | train_loss 2.0810 | train_acc 0.3082 | val_loss 1.8952 | val_acc 0.3393
epoch 002 | train_loss 1.8323 | train_acc 0.3904 | val_loss 1.8201 | val_acc 0.3890
epoch 003 | train_loss 1.6808 | train_acc 0.4446 | val_loss 1.7702 | val_acc 0.4254
epoch 004 | train_loss 1.6167 | train_acc 0.4709 | val_loss 1.6997 | val_acc 0.4247
epoch 005 | train_loss 1.5512 | train_acc 0.4920 | val_loss 1.6578 | val_acc 0.4750
epoch 006 | train_loss 1.5081 | train_acc 0.5037 | val_loss 1.9769 | val_acc 0.3720
epoch 007 | train_loss 1.4693 | train_acc 0.5182 | val_loss 1.5109 | val_acc 0.5177
epoch 008 | train_loss 1.4566 | train_acc 0.5206 | val_loss 1.4721 | val_acc 0.5382
epoch 009 | train_loss 1.4257 | train_acc 0.5286 | val_loss 1.4820 | val_acc 0.5135
epoch 010 | train_loss 1.3997 | train_acc 0.5384 | val_loss 1.5180 | val_acc 0.5125
epoch 011 | train_loss 1.3993 | train_acc 0.5386 | val_loss 1.5374 | val_acc 0.5104
epoch 012 | train_loss 1.3770 | train_acc 0.5463 | val_loss 1.5073 | val_acc 0.5066
epoch 013 | train_loss 1.3557 | train_acc 0.5506 | val_loss 1.4840 | val_acc 0.5267
epoch 014 | train_loss 1.3497 | train_acc 0.5571 | val_loss 1.4469 | val_acc 0.5396
epoch 015 | train_loss 1.3398 | train_acc 0.5578 | val_loss 1.4767 | val_acc 0.5278
epoch 016 | train_loss 1.3164 | train_acc 0.5650 | val_loss 1.4616 | val_acc 0.5288
epoch 017 | train_loss 1.3224 | train_acc 0.5570 | val_loss 1.5201 | val_acc 0.5274
epoch 018 | train_loss 1.2857 | train_acc 0.5696 | val_loss 1.3816 | val_acc 0.5569
epoch 019 | train_loss 1.2834 | train_acc 0.5752 | val_loss 1.4080 | val_acc 0.5510
epoch 020 | train_loss 1.2725 | train_acc 0.5828 | val_loss 1.4383 | val_acc 0.5441
epoch 021 | train_loss 1.1820 | train_acc 0.6072 | val_loss 1.3137 | val_acc 0.5739
epoch 022 | train_loss 1.1639 | train_acc 0.6146 | val_loss 1.2896 | val_acc 0.5847
epoch 023 | train_loss 1.1482 | train_acc 0.6155 | val_loss 1.3718 | val_acc 0.5649
epoch 024 | train_loss 1.1326 | train_acc 0.6205 | val_loss 1.3148 | val_acc 0.5819
epoch 025 | train_loss 1.1190 | train_acc 0.6288 | val_loss 1.3202 | val_acc 0.5836
epoch 026 | train_loss 1.1096 | train_acc 0.6292 | val_loss 1.3035 | val_acc 0.5850
epoch 027 | train_loss 1.1161 | train_acc 0.6250 | val_loss 1.2968 | val_acc 0.5763
epoch 028 | train_loss 1.1003 | train_acc 0.6377 | val_loss 1.2639 | val_acc 0.5906
epoch 029 | train_loss 1.0991 | train_acc 0.6349 | val_loss 1.2875 | val_acc 0.5913
epoch 030 | train_loss 1.0885 | train_acc 0.6317 | val_loss 1.2750 | val_acc 0.5992
epoch 031 | train_loss 1.0668 | train_acc 0.6428 | val_loss 1.3621 | val_acc 0.5743
epoch 032 | train_loss 1.0806 | train_acc 0.6413 | val_loss 1.3391 | val_acc 0.5968
epoch 033 | train_loss 1.0565 | train_acc 0.6463 | val_loss 1.2691 | val_acc 0.5965
epoch 034 | train_loss 1.0590 | train_acc 0.6420 | val_loss 1.2732 | val_acc 0.5895
epoch 035 | train_loss 1.0679 | train_acc 0.6432 | val_loss 1.2805 | val_acc 0.5840
epoch 036 | train_loss 1.0503 | train_acc 0.6487 | val_loss 1.3179 | val_acc 0.5749
epoch 037 | train_loss 1.0378 | train_acc 0.6499 | val_loss 1.3317 | val_acc 0.5788
epoch 038 | train_loss 1.0379 | train_acc 0.6508 | val_loss 1.2731 | val_acc 0.5930
epoch 039 | train_loss 1.0404 | train_acc 0.6515 | val_loss 1.2594 | val_acc 0.6037
epoch 040 | train_loss 1.0275 | train_acc 0.6540 | val_loss 1.2786 | val_acc 0.5913
epoch 041 | train_loss 0.9794 | train_acc 0.6693 | val_loss 1.2203 | val_acc 0.6079
epoch 042 | train_loss 0.9567 | train_acc 0.6745 | val_loss 1.2197 | val_acc 0.6044
epoch 043 | train_loss 0.9479 | train_acc 0.6787 | val_loss 1.2005 | val_acc 0.6135
epoch 044 | train_loss 0.9399 | train_acc 0.6823 | val_loss 1.2250 | val_acc 0.5975
epoch 045 | train_loss 0.9325 | train_acc 0.6867 | val_loss 1.2239 | val_acc 0.6096
epoch 046 | train_loss 0.9211 | train_acc 0.6816 | val_loss 1.2069 | val_acc 0.6187
epoch 047 | train_loss 0.9210 | train_acc 0.6889 | val_loss 1.2034 | val_acc 0.6142
epoch 048 | train_loss 0.9171 | train_acc 0.6895 | val_loss 1.2130 | val_acc 0.6152
epoch 049 | train_loss 0.9086 | train_acc 0.6924 | val_loss 1.2482 | val_acc 0.6069
epoch 050 | train_loss 0.9039 | train_acc 0.6921 | val_loss 1.2261 | val_acc 0.6221
epoch 051 | train_loss 0.9037 | train_acc 0.6942 | val_loss 1.2300 | val_acc 0.6194
epoch 052 | train_loss 0.9024 | train_acc 0.6914 | val_loss 1.2442 | val_acc 0.6194
epoch 053 | train_loss 0.8915 | train_acc 0.6981 | val_loss 1.2037 | val_acc 0.6194
epoch 054 | train_loss 0.8790 | train_acc 0.7039 | val_loss 1.2180 | val_acc 0.6183
